角色名,角色英文名,作品名,图片文件名,图片路径
千早爱音,chihaya anon,BanG Dream!,chihaya anon.png,https://international.saimoe.website/static/img/isml/avatar/small/chihaya_anon.png
长崎爽世,nagasaki soyo,BanG Dream!,nagasaki soyo.png,https://international.saimoe.website/static/img/isml/avatar/small/nagasaki_soyo.png
西木野真姬,nishikino maki,LoveLive!系列,nishikino maki.png,https://international.saimoe.website/static/img/isml/avatar/small/nishikino_maki.png
白,shiro ngnl,NO GAME NO LIFE 游戏人生,shiro ngnl.png,https://international.saimoe.website/static/img/isml/avatar/small/shiro_ngnl.png
雪之下阳乃,yukinoshita haruno,我的青春恋爱物语果然有问题。,yukinoshita haruno.png,https://international.saimoe.website/static/img/isml/avatar/small/yukinoshita_haruno.png
友利奈绪,tomori nao,Charlotte,tomori nao.png,https://international.saimoe.website/static/img/isml/avatar/small/tomori_nao.png
铠冢霙,yoroizuka mizore,吹响！上低音号,yoroizuka mizore.png,https://international.saimoe.website/static/img/isml/avatar/small/yoroizuka_mizore.png
天野阳菜,amano hina,天气之子,amano hina.png,https://international.saimoe.website/static/img/isml/avatar/small/amano_hina.png
芙莉莲,frieren,葬送的芙莉莲,frieren.png,https://international.saimoe.website/static/img/isml/avatar/small/frieren.png
间桐樱,mato sakura,Fate系列,mato sakura.png,https://international.saimoe.website/static/img/isml/avatar/small/mato_sakura.png
中野二乃,nakano nino,五等分的新娘,nakano nino.png,https://international.saimoe.website/static/img/isml/avatar/small/nakano_nino.png
中野一花,nakano ichika,五等分的新娘,nakano ichika.png,https://international.saimoe.website/static/img/isml/avatar/small/nakano_ichika.png
康娜卡姆依,kanna kamui,小林家的龙女仆,kanna kamui.png,https://international.saimoe.website/static/img/isml/avatar/small/kanna_kamui1.png
霞之丘诗羽,kasumigaoka utaha,路人女主的养成方法,kasumigaoka utaha.png,https://international.saimoe.website/static/img/isml/avatar/small/kasumigaoka_utaha.png
