角色名,角色英文名,作品名,图片文件名,图片路径
安艺伦也,aki tomoya,路人女主的养成方法,aki tomoya.png,https://international.saimoe.website/static/img/isml/avatar/small/aki_tomoya1.png
宇智波佐助,uchiha sasuke,火影忍者,uchiha sasuke.png,https://international.saimoe.website/static/img/isml/avatar/small/uchiha_sasuke1.png
席德·卡盖诺,cid kagenou,想要成为影之实力者！,cid kagenou.png,https://international.saimoe.website/static/img/isml/avatar/small/cid_kagenou.png
艾伦·耶格尔,eren yeager,进击的巨人,eren yeager.png,https://international.saimoe.website/static/img/isml/avatar/small/eren_yeager1.png
潮田渚,shiota nagisa,暗杀教室,shiota nagisa.png,https://international.saimoe.website/static/img/isml/avatar/small/shiota_nagisa.png
冢本秀一,tsukamoto shuichi,吹响！上低音号,tsukamoto shuichi.png,https://international.saimoe.website/static/img/isml/avatar/small/tsukamoto_shuichi.png
绯村剑心,himura kenshin,浪客剑心,himura kenshin.png,https://international.saimoe.website/static/img/isml/avatar/small/himura_kenshin.png
夜神月,yagami light,死亡笔记,yagami light.png,https://international.saimoe.website/static/img/isml/avatar/small/yagami_light.png
一方通行,accelerator,魔法禁书目录,accelerator.png,https://international.saimoe.website/static/img/isml/avatar/small/accelerator.png
蒙奇·D·路飞,monkey d luffy,海贼王,monkey d luffy.png,https://international.saimoe.website/static/img/isml/avatar/small/monkey_d_luffy.png
北原伊织,kitahara iori,碧蓝之海,kitahara iori.png,https://international.saimoe.website/static/img/isml/avatar/small/kitahara_iori.png
阿良良木历,araragi koyomi,物语系列,araragi koyomi.png,https://international.saimoe.website/static/img/isml/avatar/small/araragi_koyomi.png
乙坂有宇,otosaka yu,Charlotte,otosaka yu.png,https://international.saimoe.website/static/img/isml/avatar/small/otosaka_yu.png
阿虚,kyon,凉宫春日的忧郁,kyon.png,https://international.saimoe.website/static/img/isml/avatar/small/kyon.png
石田将也,ishida shoya,声之形,ishida shoya.png,https://international.saimoe.website/static/img/isml/avatar/small/ishida_shoya.png
五河士道,itsuka shido,约会大作战,itsuka shido.png,https://international.saimoe.website/static/img/isml/avatar/small/itsuka_shido.png
可儿江西也,kanie seiya,甘城光辉游乐园,kanie seiya.png,https://international.saimoe.website/static/img/isml/avatar/small/kanie_seiya.png
时透无一郎,tokito muichiro,鬼灭之刃,tokito muichiro.png,https://international.saimoe.website/static/img/isml/avatar/small/tokito_muichiro.png
名取周一,natori shuuichi,夏目友人帐,natori shuuichi.png,https://international.saimoe.website/static/img/isml/avatar/small/natori_shuuichi.png
劳埃德·福杰,loid forger,间谍过家家,loid forger.png,https://international.saimoe.website/static/img/isml/avatar/small/loid_forger.png
宇智波鼬,uchiha itachi,火影忍者,uchiha itachi.png,https://international.saimoe.website/static/img/isml/avatar/small/uchiha_itachi1.png
李小狼,li syaoran,魔卡少女樱,li syaoran.png,https://international.saimoe.website/static/img/isml/avatar/small/li_syaoran.png
宫村伊澄,miyamura izumi,堀与宫村,miyamura izumi.png,https://international.saimoe.website/static/img/isml/avatar/small/miyamura_izumi.png
黑崎一护,kurosaki ichigo,BLEACH,kurosaki ichigo.png,https://international.saimoe.website/static/img/isml/avatar/small/kurosaki_ichigo1.png
星野爱久爱海,hoshino akuamarin,【我推的孩子】,hoshino akuamarin.png,https://international.saimoe.website/static/img/isml/avatar/small/hoshino_akuamarin.png
齐木楠雄,saiki kusuo,齐木楠雄的灾难,saiki kusuo.png,https://international.saimoe.website/static/img/isml/avatar/small/saiki_kusuo.png
鲁迪乌斯·格雷拉特,rudeus greyrat,无职转生,rudeus greyrat.png,https://international.saimoe.website/static/img/isml/avatar/small/rudeus_greyrat.png
孙悟空,son goku,龙珠,son goku.png,https://international.saimoe.website/static/img/isml/avatar/small/son_goku1.png
冈部伦太郎,okabe rintaro,命运石之门,okabe rintaro.png,https://international.saimoe.website/static/img/isml/avatar/small/okabe_rintaro.png
水柿司,mizugaki tsukasa,可塑性记忆,mizugaki tsukasa.png,https://international.saimoe.website/static/img/isml/avatar/small/mizugaki_tsukasa1.png
小智,satoshi,宝可梦,satoshi.png,https://international.saimoe.website/static/img/isml/avatar/small/satoshi1.png
空条承太郎,kujo jotaro,JoJo的奇妙冒险,kujo jotaro.png,https://international.saimoe.website/static/img/isml/avatar/small/kujo_jotaro1.png
坂田银时,sakata gintoki,银魂,sakata gintoki.png,https://international.saimoe.website/static/img/isml/avatar/small/sakata_gintoki.png
斯派克·斯皮格尔,spike spiegel,星际牛仔,spike spiegel.png,https://international.saimoe.website/static/img/isml/avatar/small/spike_spiegel.png
天王寺瑚太朗,tennoji kotaro,Rewrite,tennoji kotaro.png,https://international.saimoe.website/static/img/isml/avatar/small/tennoji_kotaro.png
神田空太,kanda sorata,樱花庄的宠物女孩,kanda sorata.png,https://international.saimoe.website/static/img/isml/avatar/small/kanda_sorata.png
太宰治,dazai osamu,文豪野犬,dazai osamu.png,https://international.saimoe.website/static/img/isml/avatar/small/dazai_osamu.png
赤羽业,akabane karma,暗杀教室,akabane karma.png,https://international.saimoe.website/static/img/isml/avatar/small/akabane_karma.png
泉新一,izumi shinichi,寄生兽,izumi shinichi.png,https://international.saimoe.website/static/img/isml/avatar/small/izumi_shinichi1.png
格斯,guts,剑风传奇,guts.png,https://international.saimoe.website/static/img/isml/avatar/small/guts1.png
卫宫士郎,emiya shiro,Fate系列,emiya shiro.png,https://international.saimoe.website/static/img/isml/avatar/small/emiya_shiro.png
L Lawliet,l lawliet,死亡笔记,l lawliet.png,https://international.saimoe.website/static/img/isml/avatar/small/l_lawliet.png
辛耶·诺赞,shinei nouzen,86 -不存在的战区-,shinei nouzen.png,https://international.saimoe.website/static/img/isml/avatar/small/shinei_nouzen.png
波风水门,namikaze minato,火影忍者,namikaze minato.png,https://international.saimoe.website/static/img/isml/avatar/small/namikaze_minato.png
艾尔文·史密斯,erwin smith,进击的巨人,erwin smith.png,https://international.saimoe.website/static/img/isml/avatar/small/erwin_smith1.png
壬氏,jinshi,药屋少女的呢喃,jinshi.png,https://international.saimoe.website/static/img/isml/avatar/small/jinshi.png
野崎梅太郎,nozaki umetaro,月刊少女野崎君,nozaki umetaro.png,https://international.saimoe.website/static/img/isml/avatar/small/nozaki_umetaro.png
灶门炭治郎,kamado tanjiro,鬼灭之刃,kamado tanjiro.png,https://international.saimoe.website/static/img/isml/avatar/small/kamado_tanjiro.png
里克·多拉,riku dola,NO GAME NO LIFE 游戏人生,riku dola.png,https://international.saimoe.website/static/img/isml/avatar/small/riku_dola.png
休塔尔克,stark,葬送的芙莉莲,stark.png,https://international.saimoe.website/static/img/isml/avatar/small/stark.png
伊藤诚,ito makoto,School Days,ito makoto.png,https://international.saimoe.website/static/img/isml/avatar/small/ito_makoto1.png
黑羽快斗,kuroba kaito,魔术快斗,kuroba kaito.png,https://international.saimoe.website/static/img/isml/avatar/small/kuroba_kaito1.png
五条悟,gojo satoru,咒术回战,gojo satoru.png,https://international.saimoe.website/static/img/isml/avatar/small/gojo_satoru.png
菜月昴,natsuki subaru,Re:从零开始的异世界生活,natsuki subaru.png,https://international.saimoe.website/static/img/isml/avatar/small/natsuki_subaru.png
百夜米迦尔,hyakuya mikaela,终结的炽天使,hyakuya mikaela.png,https://international.saimoe.website/static/img/isml/avatar/small/hyakuya_mikaela1.png
坂井悠二,sakai yuji,灼眼的夏娜,sakai yuji.png,https://international.saimoe.website/static/img/isml/avatar/small/sakai_yuji.png
梓川枫,azusagawa kaede,青春猪头少年,azusagawa kaede.png,https://international.saimoe.website/static/img/isml/avatar/small/azusagawa_kaede.png
宫园薰,miyazono kaori,四月是你的谎言,miyazono kaori.png,https://international.saimoe.website/static/img/isml/avatar/small/miyazono_kaori.png
椎名立希,shiina taki,BanG Dream!,shiina taki.png,https://international.saimoe.website/static/img/isml/avatar/small/shiina_taki.png
